Using device: cuda:2
Object Category: Rico
Random Seed: 3124256514
Using dataset: datasets.RicoHierDataset
is_train: True #examples: 31470 #original: 31470 #permutes: 1
is_train: False #examples: 10490 #original: 10490 #permutes: 1
Starting training ...... 
training run rico_hier_exp_AE_sem_wt_1
     Time    Epoch     Dataset    Iteration     Progress(%)       LR       BoxLoss   LeafLoss     NodeExists      SemLoss    KLDivLoss     TotalLoss
 00:00:07     0/40     training      0/984         0.0%      1.00E-03      145.28       12.06       42.33       54.33       0.00     254.01
Saving checkpoint ...... DONE
 00:00:14     0/40    validation     0/328         0.0%      1.00E-03      134.16       12.11       43.16       54.61       0.00     244.05
 00:02:32     0/40    validation    10/328         0.1%      1.00E-03       17.40        8.25       30.60       31.39       0.00      87.65
 00:02:34     0/40     training     30/984         0.1%      1.00E-03       13.88        7.67       29.04       30.07       0.00      80.65
 00:04:41     0/40    validation    20/328         0.2%      1.00E-03       10.59        8.26       31.71       34.11       0.00      84.66
 00:04:43     0/40     training     60/984         0.2%      1.00E-03       11.42        8.81       31.60       33.91       0.00      85.75
 00:06:49     0/40    validation    30/328         0.2%      1.00E-03       12.96        8.58       32.30       32.81       0.00      86.65
 00:06:52     0/40     training     90/984         0.2%      1.00E-03        8.59        8.59       32.45       32.25       0.00      81.89
 00:09:07     0/40    validation    40/328         0.3%      1.00E-03       10.84        8.14       35.02       34.30       0.00      88.30
 00:09:10     0/40     training    120/984         0.3%      1.00E-03       12.95        8.45       34.72       35.41       0.00      91.53
 00:11:21     0/40    validation    50/328         0.4%      1.00E-03        9.34        7.79       32.70       32.41       0.00      82.25
 00:11:23     0/40     training    150/984         0.4%      1.00E-03        8.48        7.14       33.03       31.61       0.00      80.25
 00:13:31     0/40    validation    60/328         0.5%      1.00E-03        8.54        6.51       31.13       26.04       0.00      72.22
 00:13:33     0/40     training    180/984         0.5%      1.00E-03        8.66        5.97       27.37       25.31       0.00      67.32
 00:15:39     0/40    validation    70/328         0.5%      1.00E-03       12.16        9.62       39.95       35.69       0.00      97.42
 00:15:41     0/40     training    210/984         0.5%      1.00E-03        7.14        7.14       32.91       28.58       0.00      75.76
 00:17:52     0/40    validation    80/328         0.6%      1.00E-03        7.56        7.74       33.41       31.68       0.00      80.38
 00:17:55     0/40     training    240/984         0.6%      1.00E-03        8.58        8.98       35.50       31.28       0.00      84.34
 00:20:01     0/40    validation    90/328         0.7%      1.00E-03        7.25        6.96       31.89       30.46       0.00      76.56
 00:20:03     0/40     training    270/984         0.7%      1.00E-03       10.19        8.41       40.58       35.78       0.00      94.96
 00:22:09     0/40    validation   100/328         0.8%      1.00E-03        7.60        6.34       31.10       25.54       0.00      70.58
 00:22:12     0/40     training    300/984         0.8%      1.00E-03        7.23        7.10       33.57       29.46       0.00      77.36
 00:24:23     0/40    validation   110/328         0.8%      1.00E-03        7.54        5.90       29.68       24.36       0.00      67.48
 00:24:26     0/40     training    330/984         0.8%      1.00E-03        7.92        7.09       31.58       28.08       0.00      74.67
 00:26:39     0/40    validation   120/328         0.9%      1.00E-03        6.11        6.03       32.32       28.16       0.00      72.62
